Scene_path,Scale,bbox_min,bbox_max
/media/simple/another_Documents/isaacsim_assets/scene/smallscene.usd,1,"(-11.9999997317791, -19.409040742674804, -4.650005513427436)","(11.999999731779097, 19.409040742674804, 4.650005513427436)"
/media/simple/another_Documents/isaacsim_assets/scene/factory/factory.usdc,1,"(-23.80858972714219, -0.4779826273983409, -34.64541993761019)","(25.330549835386588, 19.41872068536165, 33.10810648619712)"
/media/simple/another_Documents/isaacsim_assets/scene/Building/Building.usdc,0.01,"(-2890.906560251713, -24.979464309040168, -2500.0)","(2528.404179325604, 1403.0491512014594, 2500.0)"
/media/simple/another_Documents/isaacsim_assets/scene/Factory/Factory.usdc,1,"(-1.757520368210229, -6.279392549575946e-14, -64.96063674447078)","(33.253582497823814, 19.904767176593758, 1.5748030912218067)"
/media/simple/another_Documents/isaacsim_assets/assets/Balsan_Space_to_Land_carpet_tile_VR_experience.usdz,0.01,"(-175.75204074938702, -1.7999046908769567, -6496.063819645414)","(3325.35832410993, 1990.4767621499973, 157.48031264213984)"
/media/simple/another_Documents/isaacsim_assets/assets/Urban_Building.usdz,0.1,"(-607.3211261302868, -5.247681333905417, -288.74690345633087)","(531.1666916577368, 294.7523113474897, 235.79118390905907)"
/media/simple/another_Documents/isaacsim_assets/assets/Long_Warehouse.usdz,0.1,"(-156.1281539566771, -0.017888885371306944, -314.1908018591195)","(1846.1961424745477, 299.98212210687973, 314.19076091435545)"
/media/simple/another_Documents/isaacsim_assets/scene/factory1.usdz,1,"(-114.00001210033861, -115.76150224457012, -26.979870155009532)","(114.00001210033861, 115.76150224457012, 26.979870155009536)"
